time,mosi,miso
0.474928708,BC,FF
0.494717583,BC,FF
0.257254500,BC,FF
0.000004375,00,FF
0.277046083,00,FF
0.316620875,BC 00,FF FF
0.435354375,00,FF
0.118736708,00,FF
0.474931833,00,FF
0.316622125,BC,FF
0.316625250,00,FF
0.395772583,BC 00,FF FF
0.257257625,00,FF
0.494716375,BC 00,FF FF
0.019788292,BC 00,FF FF
0.455139875,BC,FF
0.019789542,BC,FF
0.138525042,00,FF
0.455143000,00,FF
0.098945333,BC,FF
0.356196292,BC 00,FF FF
0.296830292,BC 00,FF FF
0.375984208,BC 00,FF FF
0.039581125,00,FF
0.296834667,00,FF
0.336409167,BC,FF
0.059369667,00,FF
0.178102542,00,FF
0.336407917,BC 00,FF FF
0.197886625,BC 00,FF FF
0.118732333,BC 00,FF FF
0.455138625,BC 00,FF FF
0.395773833,BC,FF
0.296831542,BC,FF
0.138520708,BC 00,FF FF
0.158309542,BC 00,FF FF
0.415565417,00,FF
0.237464792,BC 00,FF FF
0.356200667,00,FF
0.019792667,00,FF
0.079154833,BC 00,FF FF
0.415562292,BC,FF
0.257253250,BC 00,FF FF
0.197887875,BC,FF
0.217676833,BC,FF
0.336412292,00,FF
0.435351250,BC,FF
0.098948458,00,FF
0.059365292,BC 00,FF FF
0.277042958,BC,FF
0.474927458,BC 00,FF FF
0.356197542,BC,FF
0.079156083,BC,FF
0.039578000,BC,FF
0.098944083,BC 00,FF FF
0.395776958,00,FF
0.079159208,00,FF
0.375988583,00,FF
0.237469167,00,FF
0.375985458,BC,FF
0.178098167,BC 00,FF FF
0.217675583,BC 00,FF FF
0.118733583,BC,FF
0.158313917,00,FF
0.277041708,BC 00,FF FF
0.494720708,00,FF
0.197891000,00,FF
0.217679958,00,FF
0.138521917,BC,FF
0.415561083,BC 00,FF FF
0.435350000,BC 00,FF FF
0.059366542,BC,FF
0.178099417,BC,FF
0.237466042,BC,FF
0.039576750,BC 00,FF FF
0.000001250,BC,FF
0.158310792,BC,FF
0.000000000,BC 00,FF FF
